,ï..Year,Group.Number,Habitat.Color,yellow,red,green,blue,black,tan,Did.Natural.Selection.occur.,Total,Notes
1,2019,1,Red,18,3,27,0,3,9,Yes,60,
2,2019,1,Yellow,15,9,12,0,12,12,Yes,60,
3,2019,1,Green,15,30,0,9,6,0,Yes,60,
4,2019,2,Yellow,24,6,3,3,12,12,Yes,60,
5,2019,2,White,0,12,3,21,12,12,Yes,60,
6,2019,2,Red,6,0,9,21,9,15,Yes,60,
7,2019,3,Blue,9,3,3,27,18,0,Yes,60,
8,2019,3,Black,0,0,9,9,33,9,Yes,60,
9,2019,3,Yellow,9,9,3,3,6,30,Yes,60,
10,2019,4,Green,9,9,12,6,15,9,No,60,
11,2019,4,Yellow,12,9,6,9,12,12,No,60,
12,2019,4,Red,6,9,6,15,12,12,No,60,
13,2019,5,White,0,15,24,6,0,15,Yes,60,
14,2019,5,Yellow,6,6,6,12,21,9,No,60,
15,2019,5,Blue,0,6,9,12,12,21,Yes,60,
16,2019,6,Blue,0,0,15,21,24,0,Yes,60,
17,2019,6,Yellow,18,9,6,21,0,6,Yes,60,
18,2019,6,White,12,9,9,0,12,18,Yes,60,
19,2019,7,Yellow,21,0,0,0,0,39,Yes,60,
20,2019,7,Red,0,36,12,0,6,6,Yes,60,
21,2019,7,Green,6,0,21,18,6,9,Yes,60,
22,2019,8,Black,6,15,0,9,21,9,Yes,60,
23,2019,8,Yellow,30,3,9,3,3,12,Yes,60,
24,2019,8,Green,6,9,24,15,6,0,Yes,60,
25,2019,9,Green,0,0,45,15,0,0,Yes,60,
26,2019,9,Yellow,15,6,3,18,6,12,Yes,60,
27,2019,9,Blue,12,0,9,18,3,18,Yes,60,
28,2019,10,Red,18,12,9,0,6,15,Yes,60,
29,2019,10,Blue,12,9,15,6,12,6,No,60,
30,2019,10,Yellow,3,6,0,21,18,12,Yes,60,
31,2019,11,Black,3,9,24,9,3,12,Yes,60,
32,2019,11,Yellow,33,3,3,3,9,9,Yes,60,
33,2019,11,Red,15,0,21,3,15,6,Yes,60,
34,2019,12,Blue,3,6,12,9,9,21,Yes,60,
35,2019,12,Red,21,21,0,6,0,12,Yes,60,
36,2019,12,Green,18,6,18,0,3,15,Yes,60,
37,2019,13,Black,12,15,3,0,21,9,Yes,60,
38,2019,13,Yellow,9,15,6,21,6,3,Yes,60,
39,2019,13,Green,6,0,6,27,12,9,Yes,60,
40,2019,14,Black,9,3,9,18,15,6,Yes,60,
41,2019,14,Yellow,0,18,12,24,3,3,Yes,60,
42,2019,14,White,12,9,12,3,12,12,No,60,
43,2019,15,Blue,18,12,0,15,6,9,Yes,60,
44,2019,15,Yellow,6,12,21,6,0,15,Yes,60,
45,2019,15,Red,15,3,9,24,3,6,Yes,60,
46,2019,16,Black,0,12,12,36,0,0,Yes,60,
47,2019,16,Blue,0,9,0,33,18,0,Yes,60,
48,2019,16,Yellow,33,0,6,0,0,21,Yes,60,
49,2019,17,Blue,0,6,18,24,0,12,Yes,60,
